,Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status (short),County,Region,Country,X-coordinate,Y-coordinate,Planning Permission Granted,Under Construction,Operational
2006,2470,Scottish Power Renewables,East Anglia 3 (EA 3),Wind Offshore,1400,Under Construction,Offshore,Offshore,England,685500,257000,07/08/2017,01/08/2022,
2007,2471,Scottish Power Renewables,East Anglia 1 North (EA 4),Wind Offshore,800,Awaiting Construction,Offshore,Offshore,England,685500,257000,31/03/2022,,
2008,2472,Orsted (formerly Dong Energy),Hornsea 3,Wind Offshore,2955,Awaiting Construction,Offshore,Offshore,England,626000,426000,30/12/2020,,
2009,2473,Orsted (formerly Dong Energy),Hornsea 4,Wind Offshore,2600,Awaiting Construction,Offshore,Offshore,England,626000,426000,12/07/2023,,
2010,2475,Celtpower,Cirrus Shell Flat Array,Wind Offshore,284,Application Withdrawn,Offshore,Offshore,England,323355,443490,,,
2011,2476,EDF,Cromer ,Wind Offshore,108,Abandoned,Offshore,Offshore,England,630840,351080,,,
2012,2477,E.On  / Energie 2,Scarweather Sands ,Wind Offshore,108,Application Withdrawn,Offshore,Offshore,Wales,272400,171520,,,
2013,2479,Statoil,Hywind Scotland Pilot Park (Hywind 2) Demonstrator,Wind Offshore,30,Operational,Offshore,Offshore,Scotland,433500,846500,30/10/2015,27/04/2017,27/10/2017
2014,2484,RWE Renewables UK Limited,The East Anglia Array - Norfolk Vanguard,Wind Offshore,2800,Awaiting Construction,Offshore,Offshore,England,708047,312194,11/02/2022,,
2015,2485,Talisman Energy,Beatrice Demonstrator,Wind Offshore,10,Operational,Offshore,Offshore,Scotland,347955,929690,15/06/2006,01/09/2006,17/07/2007
2016,2486,Blyth Harbor Wind Ltd,Blyth Offshore ,Wind Offshore,4,Decommissioned,Offshore,Offshore,England,432608,582536,22/09/1998,01/08/2000,01/12/2000
2017,2487,Orsted (formerly Dong Energy),Burbo Bank,Wind Offshore,90,Operational,Offshore,Offshore,England,321476,399706,14/07/2006,01/08/2006,18/10/2007
2018,2488,Orsted (formerly Dong Energy),Gunfleet Sands - (Demo) Extension,Wind Offshore,12,Operational,Offshore,Offshore,England,620650,205297,17/04/2012,15/05/2012,19/04/2013
