time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2020-01-01 00:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 00:00:00,-0.78540516,6.961014,277.84937,280.56055,103295.8
2020-01-01 00:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 00:00:00,-0.6217699,6.6623383,277.86578,280.55707,103306.59
2020-01-01 00:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 00:00:00,-1.6485643,6.6502075,277.79398,280.45782,103304.94
2020-01-01 00:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 00:00:00,-1.4921618,6.3574066,277.7981,280.47183,103316.234
2020-01-01 01:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 01:00:00,-0.7342701,7.4100304,277.62863,280.3206,103218.78
2020-01-01 01:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 01:00:00,-0.58610725,7.3884163,277.63754,280.33383,103229.58
2020-01-01 01:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 01:00:00,-1.6896534,7.0027885,277.51355,280.20288,103225.52
2020-01-01 01:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 01:00:00,-1.5654774,6.984707,277.52692,280.23392,103236.945
2020-01-01 02:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 02:00:00,-0.6666088,7.534687,277.39832,280.1588,103149.2
2020-01-01 02:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 02:00:00,-0.5976391,7.54739,277.36823,280.19318,103159.01
2020-01-01 02:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 02:00:00,-1.6023998,7.1818275,277.39746,279.98862,103155.39
2020-01-01 02:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 02:00:00,-1.5704174,7.1887627,277.392,280.0255,103165.81
2020-01-01 03:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 03:00:00,-0.24979687,7.6533585,277.1383,279.93698,103118.61
2020-01-01 03:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 03:00:00,-0.2935133,7.578682,277.1588,279.98502,103126.414
2020-01-01 03:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 03:00:00,-1.0076551,7.4320602,277.18994,279.72174,103131.08
2020-01-01 03:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 03:00:00,-1.0870771,7.378128,277.22537,279.76016,103139.17
2020-01-01 04:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 04:00:00,0.34614742,8.0216465,277.0864,279.68716,103083.28
2020-01-01 04:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 04:00:00,0.23593318,7.976755,277.16068,279.70563,103093.08
2020-01-01 04:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 04:00:00,-0.3531171,7.67264,277.1181,279.50037,103098.336
2020-01-01 04:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 04:00:00,-0.472746,7.654436,277.17365,279.49268,103109.2
2020-01-01 05:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 05:00:00,1.0492108,7.838868,277.16122,279.52408,103043.22
2020-01-01 05:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 05:00:00,0.9561627,7.9342585,277.19025,279.4938,103051.625
2020-01-01 05:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 05:00:00,0.21910214,7.5731745,277.23856,279.42523,103054.18
2020-01-01 05:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 05:00:00,0.12538266,7.6825495,277.2626,279.37198,103063.32
2020-01-01 06:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 06:00:00,1.8874886,6.8525867,277.3453,279.40106,103023.87
2020-01-01 06:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 06:00:00,1.7638619,7.085642,277.30157,279.35745,103029.27
2020-01-01 06:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 06:00:00,0.9729988,6.889864,277.41904,279.39572,103023.234
2020-01-01 06:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 06:00:00,0.8467781,7.119135,277.3809,279.34332,103028.92
2020-01-01 07:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 07:00:00,2.4564085,5.738864,277.50604,279.41315,103024.29
2020-01-01 07:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 07:00:00,2.3046904,5.9677076,277.44296,279.36124,103031.5
2020-01-01 07:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 07:00:00,1.7420988,5.88251,277.54208,279.44873,103028.5
2020-01-01 07:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 07:00:00,1.5631742,6.1173735,277.49057,279.40543,103034.72
2020-01-01 08:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 08:00:00,2.4789839,5.586254,277.55862,279.49756,102998.87
2020-01-01 08:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 08:00:00,2.4247541,5.7672615,277.5981,279.41528,103008.48
2020-01-01 08:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 08:00:00,1.969264,5.5798454,277.53912,279.52252,103016.23
2020-01-01 08:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 08:00:00,1.8913069,5.7755165,277.58707,279.45535,103025.945
2020-01-01 09:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 09:00:00,2.288412,6.1813564,277.47498,279.6475,102999.88
2020-01-01 09:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 09:00:00,2.3258114,6.2975903,277.59708,279.57852,103010.68
2020-01-01 09:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 09:00:00,1.856329,5.940222,277.41348,279.62375,103022.234
2020-01-01 09:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 09:00:00,1.877142,6.0846844,277.5406,279.57275,103032.51
2020-01-01 10:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 10:00:00,2.4430084,6.2852945,277.41608,279.57507,102973.57
2020-01-01 10:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 10:00:00,2.5536423,6.3548975,277.55444,279.57227,102983.77
2020-01-01 10:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 10:00:00,2.1430588,5.8609858,277.32428,279.39606,103000.2
2020-01-01 10:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 10:00:00,2.2336884,5.9676905,277.48785,279.4173,103010.195
2020-01-01 11:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 11:00:00,2.56995,6.9380627,277.3388,279.5933,102940.516
2020-01-01 11:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 11:00:00,2.676014,6.899229,277.4184,279.65564,102951.72
2020-01-01 11:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 11:00:00,2.325016,6.2104473,277.26645,279.4072,102972.125
2020-01-01 11:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 11:00:00,2.4129906,6.2036114,277.36417,279.48846,102982.55
2020-01-01 12:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 12:00:00,2.4928188,7.2670717,277.26102,279.51727,102832.75
2020-01-01 12:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 12:00:00,2.6272335,7.1300173,277.38617,279.60654,102844.15
2020-01-01 12:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 12:00:00,2.199377,6.449277,277.11212,279.33087,102865.59
2020-01-01 12:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 12:00:00,2.3128185,6.33508,277.2512,279.44128,102876.914
2020-01-01 13:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 13:00:00,2.6913595,7.6096134,277.17868,279.47546,102767.09
2020-01-01 13:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 13:00:00,2.7512732,7.479288,277.29715,279.60724,102776.9
2020-01-01 13:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 13:00:00,2.289832,6.926264,277.04214,279.2843,102803.11
2020-01-01 13:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 13:00:00,2.329627,6.798212,277.1887,279.42926,102812.83
2020-01-01 14:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 14:00:00,2.9386978,7.851281,277.19537,279.41556,102718.03
2020-01-01 14:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 14:00:00,2.961937,7.787774,277.30292,279.561,102728.03
2020-01-01 14:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 14:00:00,2.4232101,7.3218775,277.0559,279.24408,102753.16
2020-01-01 14:00:00,53.819,1.65,0,0 days,0.0,2020-01-01 14:00:00,2.430519,7.2244196,277.18753,279.4054,102763.58
2020-01-01 15:00:00,54.07,1.399,0,0 days,0.0,2020-01-01 15:00:00,3.4166985,8.041205,277.24536,279.33643,102637.61
2020-01-01 15:00:00,54.07,1.65,0,0 days,0.0,2020-01-01 15:00:00,3.2090416,8.043418,277.3829,279.52444,102643.016
2020-01-01 15:00:00,53.819,1.399,0,0 days,0.0,2020-01-01 15:00:00,2.7732506,7.835429,277.1332,279.1975,102674.21
