time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2020-01-01 00:00:00,53.322,0.721,0,0 days,0.0,2020-01-01 00:00:00,-3.5115147,5.2957344,277.6466,279.65424,103250.21
2020-01-01 00:00:00,53.322,0.972,0,0 days,0.0,2020-01-01 00:00:00,-3.4806767,5.814289,277.6473,279.79327,103296.47
2020-01-01 00:00:00,53.071,0.721,0,0 days,0.0,2020-01-01 00:00:00,-3.8645878,3.9377022,277.86563,279.23767,103100.03
2020-01-01 00:00:00,53.071,0.972,0,0 days,0.0,2020-01-01 00:00:00,-3.8364964,4.5147896,277.79413,279.33374,103126.64
2020-01-01 01:00:00,53.322,0.721,0,0 days,0.0,2020-01-01 01:00:00,-3.4619522,5.8802195,277.45673,279.4671,103167.66
2020-01-01 01:00:00,53.322,0.972,0,0 days,0.0,2020-01-01 01:00:00,-3.4830475,6.332368,277.44543,279.56177,103213.2
2020-01-01 01:00:00,53.071,0.721,0,0 days,0.0,2020-01-01 01:00:00,-3.845955,4.654237,277.69586,279.15714,103015.05
2020-01-01 01:00:00,53.071,0.972,0,0 days,0.0,2020-01-01 01:00:00,-3.8735962,5.210908,277.605,279.20605,103041.37
2020-01-01 02:00:00,53.322,0.721,0,0 days,0.0,2020-01-01 02:00:00,-2.8852234,6.375209,277.362,279.40427,103105.78
2020-01-01 02:00:00,53.322,0.972,0,0 days,0.0,2020-01-01 02:00:00,-2.9912338,6.743495,277.29797,279.44476,103150.04
2020-01-01 02:00:00,53.071,0.721,0,0 days,0.0,2020-01-01 02:00:00,-3.204094,5.3675795,277.7125,279.19003,102954.46
2020-01-01 02:00:00,53.071,0.972,0,0 days,0.0,2020-01-01 02:00:00,-3.3328476,5.835475,277.58832,279.19043,102977.875
2020-01-01 03:00:00,53.322,0.721,0,0 days,0.0,2020-01-01 03:00:00,-1.6965237,6.525404,277.43588,279.3822,103090.625
2020-01-01 03:00:00,53.322,0.972,0,0 days,0.0,2020-01-01 03:00:00,-1.8767452,6.809553,277.35394,279.37665,103134.3
2020-01-01 03:00:00,53.071,0.721,0,0 days,0.0,2020-01-01 03:00:00,-2.064703,5.6635265,277.68973,279.27594,102939.89
2020-01-01 03:00:00,53.071,0.972,0,0 days,0.0,2020-01-01 03:00:00,-2.2397976,5.994093,277.5658,279.24805,102963.125
2020-01-01 04:00:00,53.322,0.721,0,0 days,0.0,2020-01-01 04:00:00,-0.95824814,6.18524,277.41452,279.4193,103054.02
2020-01-01 04:00:00,53.322,0.972,0,0 days,0.0,2020-01-01 04:00:00,-1.1924858,6.4803753,277.37808,279.43732,103101.4
2020-01-01 04:00:00,53.071,0.721,0,0 days,0.0,2020-01-01 04:00:00,-1.3926964,5.3020916,277.67355,279.29916,102907.125
2020-01-01 04:00:00,53.071,0.972,0,0 days,0.0,2020-01-01 04:00:00,-1.6297874,5.595793,277.57263,279.3024,102933.66
2020-01-01 05:00:00,53.322,0.721,0,0 days,0.0,2020-01-01 05:00:00,-0.61843586,5.840768,277.39767,279.45886,103014.59
2020-01-01 05:00:00,53.322,0.972,0,0 days,0.0,2020-01-01 05:00:00,-0.8794069,6.18876,277.43335,279.5211,103059.97
