time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2020-01-01 00:00:00,54.2,-3.881,0,0 days,0.0,2020-01-01 00:00:00,-3.9589071,5.6798496,278.68222,280.32913,102932.92
2020-01-01 00:00:00,54.2,-3.63,0,0 days,0.0,2020-01-01 00:00:00,-3.9372244,4.649515,278.1634,279.59094,102508.08
2020-01-01 00:00:00,53.949,-3.881,0,0 days,0.0,2020-01-01 00:00:00,-4.48326,4.6069126,278.949,280.53757,103022.47
2020-01-01 00:00:00,53.949,-3.63,0,0 days,0.0,2020-01-01 00:00:00,-4.810378,4.275278,278.63617,280.13132,103065.94
2020-01-01 01:00:00,54.2,-3.881,0,0 days,0.0,2020-01-01 01:00:00,-3.1336584,5.3654156,278.81277,280.42386,102887.72
2020-01-01 01:00:00,54.2,-3.63,0,0 days,0.0,2020-01-01 01:00:00,-3.2750006,4.452116,278.41473,279.66357,102460.39
2020-01-01 01:00:00,53.949,-3.881,0,0 days,0.0,2020-01-01 01:00:00,-3.5366125,4.495451,279.0664,280.59882,102976.39
2020-01-01 01:00:00,53.949,-3.63,0,0 days,0.0,2020-01-01 01:00:00,-4.083808,4.252226,278.83325,280.17664,103017.14
2020-01-01 02:00:00,54.2,-3.881,0,0 days,0.0,2020-01-01 02:00:00,-2.0947704,5.564971,278.76517,280.538,102853.7
2020-01-01 02:00:00,54.2,-3.63,0,0 days,0.0,2020-01-01 02:00:00,-2.5317516,4.7093496,278.472,279.68735,102428.47
2020-01-01 02:00:00,53.949,-3.881,0,0 days,0.0,2020-01-01 02:00:00,-2.4374218,4.657439,279.05725,280.6911,102946.75
2020-01-01 02:00:00,53.949,-3.63,0,0 days,0.0,2020-01-01 02:00:00,-3.2085094,4.563506,278.90723,280.22617,102987.14
2020-01-01 03:00:00,54.2,-3.881,0,0 days,0.0,2020-01-01 03:00:00,-1.4634056,5.483115,278.88968,280.6718,102848.03
2020-01-01 03:00:00,54.2,-3.63,0,0 days,0.0,2020-01-01 03:00:00,-1.997982,4.8322363,278.5998,279.72137,102427.8
2020-01-01 03:00:00,53.949,-3.881,0,0 days,0.0,2020-01-01 03:00:00,-1.7312889,4.4413977,279.22247,280.7188,102943.08
2020-01-01 03:00:00,53.949,-3.63,0,0 days,0.0,2020-01-01 03:00:00,-2.5257225,4.5671606,279.1082,280.25256,102986.16
2020-01-01 04:00:00,54.2,-3.881,0,0 days,0.0,2020-01-01 04:00:00,-1.4426432,5.5875807,278.92596,280.70404,102778.19
2020-01-01 04:00:00,54.2,-3.63,0,0 days,0.0,2020-01-01 04:00:00,-1.8556376,5.032222,278.59625,279.7,102363.39
2020-01-01 04:00:00,53.949,-3.881,0,0 days,0.0,2020-01-01 04:00:00,-1.6565409,4.531947,279.2568,280.77185,102879.64
2020-01-01 04:00:00,53.949,-3.63,0,0 days,0.0,2020-01-01 04:00:00,-2.283372,4.707698,279.16754,280.28076,102926.984
2020-01-01 05:00:00,54.2,-3.881,0,0 days,0.0,2020-01-01 05:00:00,-2.0750723,5.64567,279.0992,280.66516,102713.95
2020-01-01 05:00:00,54.2,-3.63,0,0 days,0.0,2020-01-01 05:00:00,-2.3609304,4.956003,278.70178,279.68564,102301.16
2020-01-01 05:00:00,53.949,-3.881,0,0 days,0.0,2020-01-01 05:00:00,-2.2509604,4.8507023,279.38922,280.7514,102817.56
2020-01-01 05:00:00,53.949,-3.63,0,0 days,0.0,2020-01-01 05:00:00,-2.6981192,4.8315983,279.22192,280.27185,102869.984
2020-01-01 06:00:00,54.2,-3.881,0,0 days,0.0,2020-01-01 06:00:00,-2.7594995,5.9819126,279.13196,280.58237,102645.66
2020-01-01 06:00:00,54.2,-3.63,0,0 days,0.0,2020-01-01 06:00:00,-2.9573908,5.1859837,278.58533,279.6999,102232.34
2020-01-01 06:00:00,53.949,-3.881,0,0 days,0.0,2020-01-01 06:00:00,-3.0155268,5.3468113,279.2646,280.71368,102748.484
2020-01-01 06:00:00,53.949,-3.63,0,0 days,0.0,2020-01-01 06:00:00,-3.4217615,5.2633,279.00568,280.27133,102803.09
2020-01-01 07:00:00,54.2,-3.881,0,0 days,0.0,2020-01-01 07:00:00,-2.8635616,6.467511,278.8335,280.5213,102637.95
2020-01-01 07:00:00,54.2,-3.63,0,0 days,0.0,2020-01-01 07:00:00,-2.9292965,5.5652895,278.31824,279.60455,102220.625
2020-01-01 07:00:00,53.949,-3.881,0,0 days,0.0,2020-01-01 07:00:00,-3.2204952,5.76196,278.7622,280.6353,102738.95
2020-01-01 07:00:00,53.949,-3.63,0,0 days,0.0,2020-01-01 07:00:00,-3.541479,5.723813,278.71326,280.177,102788.89
