time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2020-01-01 00:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 00:00:00,-4.3161306,4.3466053,278.29715,279.72662,102687.01
2020-01-01 00:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 00:00:00,-3.9375906,3.5478077,277.90143,279.25748,102623.805
2020-01-01 00:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 00:00:00,-4.8484488,3.82683,278.70755,280.17206,103088.5
2020-01-01 00:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 00:00:00,-4.4951468,3.128893,278.31958,279.71777,103026.336
2020-01-01 01:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 01:00:00,-3.6223984,4.228758,278.5376,279.78888,102638.36
2020-01-01 01:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 01:00:00,-3.4128342,3.4816723,278.1693,279.31836,102571.4
2020-01-01 01:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 01:00:00,-4.1705704,3.8959026,278.88422,280.21033,103039.48
2020-01-01 01:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 01:00:00,-3.9825363,3.2326336,278.52335,279.74927,102973.97
2020-01-01 02:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 02:00:00,-2.832183,4.5021477,278.59912,279.8255,102607.484
2020-01-01 02:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 02:00:00,-2.7768698,3.8500633,278.28772,279.3409,102538.34
2020-01-01 02:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 02:00:00,-3.3237906,4.2167015,278.97916,280.24243,103009.36
2020-01-01 02:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 02:00:00,-3.2988424,3.665203,278.661,279.76755,102941.875
2020-01-01 03:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 03:00:00,-2.2390165,4.5924673,278.77432,279.8308,102607.37
2020-01-01 03:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 03:00:00,-2.236003,3.995345,278.42422,279.35455,102541.58
2020-01-01 03:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 03:00:00,-2.6388044,4.1371145,279.128,280.2666,103008.45
2020-01-01 03:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 03:00:00,-2.6742506,3.6706228,278.78967,279.80603,102943.945
2020-01-01 04:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 04:00:00,-2.0440922,4.7949734,278.78827,279.82013,102545.836
2020-01-01 04:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 04:00:00,-2.0761356,4.2156277,278.4569,279.30774,102485.04
2020-01-01 04:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 04:00:00,-2.4143162,4.172659,279.1815,280.2948,102952.81
2020-01-01 04:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 04:00:00,-2.4599628,3.7167263,278.85443,279.79834,102893.06
2020-01-01 05:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 05:00:00,-2.5010118,4.8036747,278.86798,279.80872,102485.72
2020-01-01 05:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 05:00:00,-2.4148073,4.109888,278.5243,279.2852,102429.32
2020-01-01 05:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 05:00:00,-2.7499056,4.3761845,279.1962,280.29962,102899.305
2020-01-01 05:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 05:00:00,-2.6787386,3.7859135,278.85806,279.7874,102844.195
2020-01-01 06:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 06:00:00,-3.1556063,5.093378,278.66498,279.83905,102417.336
2020-01-01 06:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 06:00:00,-3.0042315,4.3682957,278.39886,279.286,102364.93
2020-01-01 06:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 06:00:00,-3.4644594,4.924814,279.0469,280.27264,102834.54
2020-01-01 06:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 06:00:00,-3.3159914,4.291849,278.76038,279.73163,102783.86
2020-01-01 07:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 07:00:00,-3.1873493,5.476429,278.3867,279.7294,102404.54
2020-01-01 07:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 07:00:00,-3.0388508,4.847828,278.1419,279.17892,102346.555
2020-01-01 07:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 07:00:00,-3.6199055,5.460575,278.76825,280.19058,102817.26
2020-01-01 07:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 07:00:00,-3.4871845,4.9359627,278.5399,279.64838,102760.984
2020-01-01 08:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 08:00:00,-2.5288706,5.4697056,277.95154,279.4958,102382.25
2020-01-01 08:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 08:00:00,-2.5117502,5.0223103,277.72592,278.92108,102317.41
2020-01-01 08:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 08:00:00,-3.2247324,5.5076694,278.17767,280.01505,102782.336
2020-01-01 08:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 08:00:00,-3.2261057,5.175623,278.03833,279.44644,102719.625
2020-01-01 09:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 09:00:00,0.32964784,4.697052,277.5604,279.34702,102449.73
2020-01-01 09:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 09:00:00,-0.5312225,4.606758,277.32394,278.71472,102364.266
2020-01-01 09:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 09:00:00,0.016934216,4.6400433,277.73016,279.85617,102847.84
2020-01-01 09:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 09:00:00,-0.993808,4.719324,277.5367,279.2276,102762.516
2020-01-01 10:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 10:00:00,0.9290196,3.6941938,277.88678,279.99472,102427.71
2020-01-01 10:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 10:00:00,0.4283787,3.4414015,277.5227,279.23944,102365.27
2020-01-01 10:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 10:00:00,1.4849888,3.23347,278.20053,280.38757,102841.56
2020-01-01 10:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 10:00:00,0.89566386,3.1359968,277.8707,279.6259,102780.38
2020-01-01 11:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 11:00:00,0.9740273,3.4479809,278.08014,280.33624,102421.56
2020-01-01 11:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 11:00:00,0.11620867,3.4090862,277.6441,279.57162,102360.36
2020-01-01 11:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 11:00:00,1.4168984,3.0240307,278.1127,280.6626,102837.03
2020-01-01 11:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 11:00:00,0.4725319,3.1041546,277.7321,279.89743,102777.305
2020-01-01 12:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 12:00:00,0.50993717,3.7919588,278.31372,280.45056,102348.03
2020-01-01 12:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 12:00:00,-0.39149106,3.5929232,277.92447,279.71466,102287.82
2020-01-01 12:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 12:00:00,0.9034308,3.4596376,278.30798,280.72015,102773.74
2020-01-01 12:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 12:00:00,-0.07133114,3.3412905,277.94812,280.00458,102714.805
2020-01-01 13:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 13:00:00,0.32270914,4.5086346,278.5179,280.43365,102236.07
2020-01-01 13:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 13:00:00,-0.5068807,4.118574,278.11035,279.74603,102173.28
2020-01-01 13:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 13:00:00,0.6278849,4.2332134,278.41132,280.65552,102661.78
2020-01-01 13:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 13:00:00,-0.25923055,3.919859,278.0261,279.9943,102600.25
2020-01-01 14:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 14:00:00,0.59101564,5.043702,278.56628,280.3886,102175.81
2020-01-01 14:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 14:00:00,0.010617051,4.4553537,278.16324,279.76337,102113.25
2020-01-01 14:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 14:00:00,0.8131073,4.821168,278.2886,280.623,102598.516
2020-01-01 14:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 14:00:00,0.20650938,4.3233347,277.92737,280.02234,102537.22
2020-01-01 15:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 15:00:00,0.61473465,5.2802887,278.5185,280.35266,102173.82
2020-01-01 15:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 15:00:00,0.09515762,4.582779,278.12723,279.7533,102112.43
2020-01-01 15:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 15:00:00,0.8454628,5.2048492,278.07474,280.66425,102593.91
2020-01-01 15:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 15:00:00,0.27849197,4.57016,277.74194,280.08463,102533.99
2020-01-01 16:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 16:00:00,0.7774361,5.6091976,278.3554,280.39005,102152.195
2020-01-01 16:00:00,54.095,-3.352,0,0 days,0.0,2020-01-01 16:00:00,0.08514482,4.7412167,277.99152,279.72787,102089.23
2020-01-01 16:00:00,53.844,-3.603,0,0 days,0.0,2020-01-01 16:00:00,1.1799018,5.405035,277.93027,280.74045,102575.04
2020-01-01 16:00:00,53.844,-3.352,0,0 days,0.0,2020-01-01 16:00:00,0.38360673,4.5993404,277.62164,280.08023,102513.12
2020-01-01 17:00:00,54.095,-3.603,0,0 days,0.0,2020-01-01 17:00:00,1.1957006,6.1015654,278.32367,280.48145,102103.81
