time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2021-01-01 00:00:00,53.59,-3.411,0,0 days,0.0,2021-01-01 00:00:00,-0.5142556,-5.6183987,275.50876,277.57513,100942.91
2021-01-01 00:00:00,53.59,-3.16,0,0 days,0.0,2021-01-01 00:00:00,0.005550325,-4.037771,274.8504,276.27368,100754.91
2021-01-01 00:00:00,53.339,-3.411,0,0 days,0.0,2021-01-01 00:00:00,0.7631187,-2.4074612,273.96362,274.82507,99828.34
2021-01-01 00:00:00,53.339,-3.16,0,0 days,0.0,2021-01-01 00:00:00,1.1379967,-2.1218777,274.04883,274.75043,100142.375
2021-01-01 01:00:00,53.59,-3.411,0,0 days,0.0,2021-01-01 01:00:00,-1.2128115,-5.972761,275.73575,277.75006,100970.25
2021-01-01 01:00:00,53.59,-3.16,0,0 days,0.0,2021-01-01 01:00:00,-0.6413393,-4.345442,275.04572,276.5224,100780.41
2021-01-01 01:00:00,53.339,-3.411,0,0 days,0.0,2021-01-01 01:00:00,0.23543072,-2.8268871,274.40533,275.3014,99842.25
2021-01-01 01:00:00,53.339,-3.16,0,0 days,0.0,2021-01-01 01:00:00,0.5452452,-2.4785595,274.4478,275.22968,100159.0
2021-01-01 02:00:00,53.59,-3.411,0,0 days,0.0,2021-01-01 02:00:00,-1.1519308,-5.8077755,275.80154,278.35577,101015.75
2021-01-01 02:00:00,53.59,-3.16,0,0 days,0.0,2021-01-01 02:00:00,-0.3560934,-4.280859,275.08508,276.95917,100820.25
2021-01-01 02:00:00,53.339,-3.411,0,0 days,0.0,2021-01-01 02:00:00,-0.16807461,-3.253027,274.81006,275.92957,99885.375
2021-01-01 02:00:00,53.339,-3.16,0,0 days,0.0,2021-01-01 02:00:00,0.46333408,-2.8125973,274.60574,275.65393,100199.41
2021-01-01 03:00:00,53.59,-3.411,0,0 days,0.0,2021-01-01 03:00:00,-0.7437672,-6.4368105,276.0432,278.65173,101081.06
2021-01-01 03:00:00,53.59,-3.16,0,0 days,0.0,2021-01-01 03:00:00,0.012183726,-4.8877993,275.40048,277.30774,100884.53
2021-01-01 03:00:00,53.339,-3.411,0,0 days,0.0,2021-01-01 03:00:00,-0.18862194,-3.6089907,275.34616,276.5185,99952.69
