time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2021-01-01 00:00:00,52.028,1.787,0,0 days,0.0,2021-01-01 00:00:00,5.273628,-4.955097,275.1787,276.7559,100755.305
2021-01-01 00:00:00,52.028,2.038,0,0 days,0.0,2021-01-01 00:00:00,5.1211014,-5.570881,275.40164,277.71143,100740.13
2021-01-01 00:00:00,51.777,1.787,0,0 days,0.0,2021-01-01 00:00:00,4.6930923,-5.82613,275.45978,277.26224,100776.48
2021-01-01 00:00:00,51.777,2.038,0,0 days,0.0,2021-01-01 00:00:00,4.5573044,-6.282917,275.59195,278.04355,100745.984
2021-01-01 01:00:00,52.028,1.787,0,0 days,0.0,2021-01-01 01:00:00,5.418808,-4.418457,274.9626,276.65182,100766.58
2021-01-01 01:00:00,52.028,2.038,0,0 days,0.0,2021-01-01 01:00:00,5.2642517,-5.159088,275.44394,277.64154,100751.55
2021-01-01 01:00:00,51.777,1.787,0,0 days,0.0,2021-01-01 01:00:00,4.953766,-5.503174,275.16547,277.19656,100789.9
2021-01-01 01:00:00,51.777,2.038,0,0 days,0.0,2021-01-01 01:00:00,4.7875214,-6.066284,275.53366,277.9954,100760.25
2021-01-01 02:00:00,52.028,1.787,0,0 days,0.0,2021-01-01 02:00:00,5.652896,-3.8281965,274.78955,276.5214,100791.42
2021-01-01 02:00:00,52.028,2.038,0,0 days,0.0,2021-01-01 02:00:00,5.4898252,-4.611369,275.46442,277.53946,100779.94
2021-01-01 02:00:00,51.777,1.787,0,0 days,0.0,2021-01-01 02:00:00,5.020587,-4.8904524,274.97958,277.2082,100816.84
2021-01-01 02:00:00,51.777,2.038,0,0 days,0.0,2021-01-01 02:00:00,4.8223753,-5.544902,275.4391,278.06296,100790.836
2021-01-01 03:00:00,52.028,1.787,0,0 days,0.0,2021-01-01 03:00:00,6.023184,-3.5634623,274.5393,276.37036,100824.875
2021-01-01 03:00:00,52.028,2.038,0,0 days,0.0,2021-01-01 03:00:00,6.149893,-4.2580423,275.5323,277.3992,100815.24
2021-01-01 03:00:00,51.777,1.787,0,0 days,0.0,2021-01-01 03:00:00,5.2448025,-4.5012674,274.80057,277.1232,100851.26
2021-01-01 03:00:00,51.777,2.038,0,0 days,0.0,2021-01-01 03:00:00,5.268881,-5.092942,275.4831,277.9727,100826.31
2021-01-01 04:00:00,52.028,1.787,0,0 days,0.0,2021-01-01 04:00:00,6.219411,-3.3092747,274.30948,276.21927,100810.45
2021-01-01 04:00:00,52.028,2.038,0,0 days,0.0,2021-01-01 04:00:00,6.5475664,-3.9159946,275.45898,277.27255,100803.67
2021-01-01 04:00:00,51.777,1.787,0,0 days,0.0,2021-01-01 04:00:00,5.4973345,-4.267252,274.64264,277.05032,100839.94
