time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2021-01-01 00:00:00,53.564,-3.768,0,0 days,0.0,2021-01-01 00:00:00,-1.3671045,-6.7720776,275.7846,278.17126,100934.34
2021-01-01 00:00:00,53.564,-3.517,0,0 days,0.0,2021-01-01 00:00:00,-0.7411585,-6.0635815,275.47784,277.89673,101001.19
2021-01-01 00:00:00,53.313,-3.768,0,0 days,0.0,2021-01-01 00:00:00,0.03975582,-2.7696362,273.67194,274.59705,99619.84
2021-01-01 00:00:00,53.313,-3.517,0,0 days,0.0,2021-01-01 00:00:00,0.6145544,-2.4937572,273.768,274.75262,99720.91
2021-01-01 01:00:00,53.564,-3.768,0,0 days,0.0,2021-01-01 01:00:00,-1.9303122,-7.1597643,276.19678,278.27917,100958.5
2021-01-01 01:00:00,53.564,-3.517,0,0 days,0.0,2021-01-01 01:00:00,-1.4579,-6.4709215,275.8991,278.0207,101027.31
2021-01-01 01:00:00,53.313,-3.768,0,0 days,0.0,2021-01-01 01:00:00,-0.32874966,-3.1225328,274.26712,275.05493,99631.25
2021-01-01 01:00:00,53.313,-3.517,0,0 days,0.0,2021-01-01 01:00:00,0.15599155,-2.9261217,274.36682,275.26337,99732.53
2021-01-01 02:00:00,53.564,-3.768,0,0 days,0.0,2021-01-01 02:00:00,-2.340044,-7.0984526,276.30975,278.94543,101006.91
2021-01-01 02:00:00,53.564,-3.517,0,0 days,0.0,2021-01-01 02:00:00,-1.606493,-6.3033476,275.94077,278.67834,101074.72
2021-01-01 02:00:00,53.313,-3.768,0,0 days,0.0,2021-01-01 02:00:00,-1.0819263,-3.7313871,274.95892,275.90192,99675.56
2021-01-01 02:00:00,53.313,-3.517,0,0 days,0.0,2021-01-01 02:00:00,-0.4299183,-3.4523954,274.82068,275.93787,99777.69
2021-01-01 03:00:00,53.564,-3.768,0,0 days,0.0,2021-01-01 03:00:00,-2.0270329,-7.5096703,276.42474,279.27924,101076.28
2021-01-01 03:00:00,53.564,-3.517,0,0 days,0.0,2021-01-01 03:00:00,-1.2318363,-6.884121,276.12018,278.9926,101140.78
2021-01-01 03:00:00,53.313,-3.768,0,0 days,0.0,2021-01-01 03:00:00,-1.1126957,-3.905239,275.54807,276.70258,99746.78
2021-01-01 03:00:00,53.313,-3.517,0,0 days,0.0,2021-01-01 03:00:00,-0.5026493,-3.7599144,275.3361,276.58673,99845.75
2021-01-01 04:00:00,53.564,-3.768,0,0 days,0.0,2021-01-01 04:00:00,-1.7694788,-7.7119036,276.50287,279.39264,101101.81
2021-01-01 04:00:00,53.564,-3.517,0,0 days,0.0,2021-01-01 04:00:00,-1.054513,-7.2306414,276.2821,279.17255,101165.375
2021-01-01 04:00:00,53.313,-3.768,0,0 days,0.0,2021-01-01 04:00:00,-1.0503321,-4.2325335,276.09412,277.4834,99774.19
2021-01-01 04:00:00,53.313,-3.517,0,0 days,0.0,2021-01-01 04:00:00,-0.48090458,-4.1216936,275.95477,277.37866,99873.125
