time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2021-01-01 00:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 00:00:00,5.935807,-1.8982592,272.8641,274.40616,100632.81
2021-01-01 00:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 00:00:00,6.9752054,-2.4080858,274.12585,276.00116,100710.3
2021-01-01 00:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 00:00:00,5.2996073,-1.3228197,272.84695,274.30875,100703.33
2021-01-01 00:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 00:00:00,6.33162,-1.5740404,273.75635,275.54797,100633.63
2021-01-01 01:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 01:00:00,5.7835636,-2.3401957,272.99823,274.4998,100637.51
2021-01-01 01:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 01:00:00,6.713434,-2.9639444,274.24768,276.04294,100714.7
2021-01-01 01:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 01:00:00,5.3988285,-1.7090311,272.72873,274.23996,100712.03
2021-01-01 01:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 01:00:00,6.4705143,-2.062333,273.63208,275.42456,100641.766
2021-01-01 02:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 02:00:00,5.576626,-2.490222,273.2349,274.5681,100647.125
2021-01-01 02:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 02:00:00,6.215969,-3.1700926,274.5126,276.19595,100724.266
2021-01-01 02:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 02:00:00,5.3587,-2.0092955,272.7448,274.23596,100726.234
2021-01-01 02:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 02:00:00,6.4155235,-2.4061766,273.65863,275.37357,100656.69
2021-01-01 03:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 03:00:00,5.412758,-2.59486,273.74976,274.95062,100674.21
2021-01-01 03:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 03:00:00,5.7076035,-3.1747856,274.89157,276.5163,100747.734
2021-01-01 03:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 03:00:00,5.3534317,-2.000042,272.96924,274.39136,100751.88
2021-01-01 03:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 03:00:00,6.293434,-2.3487053,273.85623,275.42798,100679.195
2021-01-01 04:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 04:00:00,4.9580307,-2.9518824,274.47314,275.61255,100659.58
2021-01-01 04:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 04:00:00,5.101372,-3.5525293,275.4034,277.07758,100735.67
2021-01-01 04:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 04:00:00,5.166527,-2.3781824,273.45694,274.69324,100735.13
2021-01-01 04:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 04:00:00,6.1137314,-2.7738428,274.29248,275.66418,100663.305
2021-01-01 05:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 05:00:00,4.433852,-3.277341,275.26547,276.52203,100659.32
2021-01-01 05:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 05:00:00,4.40541,-3.8726473,275.9434,277.96637,100734.836
2021-01-01 05:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 05:00:00,4.8225546,-2.6776705,274.09735,275.18378,100734.04
2021-01-01 05:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 05:00:00,5.4582357,-3.2329073,274.89218,276.2185,100661.21
2021-01-01 06:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 06:00:00,4.208395,-3.584733,276.06396,277.48218,100687.52
2021-01-01 06:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 06:00:00,4.2633877,-4.1428385,276.48172,278.78772,100763.14
2021-01-01 06:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 06:00:00,4.615408,-3.0510416,274.89194,275.9386,100760.516
2021-01-01 06:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 06:00:00,5.1909695,-3.480607,275.62503,277.07178,100687.39
2021-01-01 07:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 07:00:00,4.0645742,-3.7931986,276.2354,277.98206,100711.516
2021-01-01 07:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 07:00:00,4.249419,-4.2630777,276.5628,279.28485,100787.61
2021-01-01 07:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 07:00:00,4.1427298,-3.412202,275.32825,276.60474,100781.625
2021-01-01 07:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 07:00:00,4.753188,-3.6714487,276.0276,277.7583,100710.94
2021-01-01 08:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 08:00:00,3.9086056,-4.138838,276.51505,278.14716,100738.09
2021-01-01 08:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 08:00:00,4.1799526,-4.5816784,276.90363,279.40472,100814.734
2021-01-01 08:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 08:00:00,3.9119778,-3.5476818,275.8371,276.98486,100809.77
2021-01-01 08:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 08:00:00,4.472784,-3.7513256,276.48846,278.13702,100738.375
2021-01-01 09:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 09:00:00,3.9606447,-3.9153957,276.53415,278.19055,100770.36
2021-01-01 09:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 09:00:00,4.162717,-4.3821163,277.02676,279.38855,100844.92
2021-01-01 09:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 09:00:00,4.0307283,-3.386221,276.08997,277.30127,100844.95
2021-01-01 09:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 09:00:00,4.4763765,-3.5326443,276.6861,278.3111,100771.414
2021-01-01 10:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 10:00:00,3.814168,-3.692462,276.86993,278.39758,100805.05
2021-01-01 10:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 10:00:00,3.9051867,-3.857852,277.04993,279.31134,100880.09
2021-01-01 10:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 10:00:00,3.9969683,-3.1434202,276.47968,277.43823,100885.5
2021-01-01 10:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 10:00:00,4.4466753,-2.9271116,276.92358,278.2278,100814.67
2021-01-01 11:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 11:00:00,3.6066027,-3.9967623,277.19843,278.85422,100817.94
2021-01-01 11:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 11:00:00,3.7623339,-4.2088594,277.40002,279.58133,100891.29
2021-01-01 11:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 11:00:00,4.134343,-3.3470125,276.80902,277.94403,100890.41
2021-01-01 11:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 11:00:00,4.7877855,-3.117734,277.09778,278.60526,100817.0
2021-01-01 12:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 12:00:00,3.3136873,-4.4240084,277.16733,279.23163,100812.14
2021-01-01 12:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 12:00:00,3.3665133,-4.762555,277.46057,279.84677,100884.67
2021-01-01 12:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 12:00:00,4.0161104,-4.0400057,277.04047,278.4609,100879.04
2021-01-01 12:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 12:00:00,4.711423,-4.2176027,277.27487,279.01852,100805.64
2021-01-01 13:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 13:00:00,2.7193003,-5.079649,277.19098,279.30267,100809.47
2021-01-01 13:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 13:00:00,2.695527,-5.5046673,277.5091,279.96268,100883.96
2021-01-01 13:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 13:00:00,3.5859995,-4.194456,277.04782,278.75507,100872.67
2021-01-01 13:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 13:00:00,4.1355906,-4.5102215,277.23126,279.29233,100799.84
2021-01-01 14:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 14:00:00,1.5255995,-5.910678,277.35767,279.19052,100831.64
2021-01-01 14:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 14:00:00,1.4479933,-6.3666716,277.6969,279.92517,100907.47
2021-01-01 14:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 14:00:00,2.636897,-4.6379423,277.11093,278.81302,100889.41
2021-01-01 14:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 14:00:00,2.9720106,-4.975833,277.27112,279.40128,100818.15
2021-01-01 15:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 15:00:00,0.6384756,-6.1055965,277.27036,279.0724,100860.516
2021-01-01 15:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 15:00:00,0.465563,-6.644354,277.66553,279.9239,100933.87
2021-01-01 15:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 15:00:00,1.8749869,-4.994879,277.0665,278.68845,100913.555
2021-01-01 15:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 15:00:00,2.0008414,-5.481695,277.3045,279.44656,100838.016
2021-01-01 16:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 16:00:00,0.70254266,-6.171673,277.2843,278.98312,100910.18
2021-01-01 16:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 16:00:00,0.334226,-6.8373833,277.69293,279.89752,100981.05
2021-01-01 16:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 16:00:00,1.5808386,-5.284466,276.95438,278.57562,100958.734
2021-01-01 16:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 16:00:00,1.4890722,-5.830364,277.456,279.43512,100882.195
2021-01-01 17:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 17:00:00,1.0992033,-6.363942,277.3612,278.89706,100974.73
2021-01-01 17:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 17:00:00,0.67664176,-7.005513,277.7299,279.82965,101043.5
2021-01-01 17:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 17:00:00,1.557028,-5.6171465,276.98407,278.5107,101017.234
2021-01-01 17:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 17:00:00,1.3723662,-6.1043596,277.55945,279.35553,100938.13
2021-01-01 18:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 18:00:00,1.4848108,-6.749007,277.40216,278.92404,101000.695
2021-01-01 18:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 18:00:00,1.0573206,-7.3292685,277.71466,279.78754,101066.9
2021-01-01 18:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 18:00:00,1.6706934,-6.0576925,277.08426,278.5185,101041.805
2021-01-01 18:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 18:00:00,1.4208155,-6.5485983,277.59314,279.3001,100960.7
2021-01-01 19:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 19:00:00,1.7066469,-7.2192383,277.4399,278.98953,101059.67
2021-01-01 19:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 19:00:00,1.3797731,-7.752777,277.70505,279.76,101125.586
2021-01-01 19:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 19:00:00,1.9026461,-6.625946,277.10153,278.52097,101100.52
2021-01-01 19:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 19:00:00,1.6805086,-7.08963,277.59735,279.2812,101018.56
2021-01-01 20:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 20:00:00,1.6883402,-7.3774796,277.38947,278.97214,101119.44
2021-01-01 20:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 20:00:00,1.4518595,-8.036995,277.64136,279.6799,101185.266
2021-01-01 20:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 20:00:00,1.8074961,-6.970619,277.12335,278.61542,101166.69
2021-01-01 20:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 20:00:00,1.6996927,-7.4714737,277.5489,279.27487,101083.3
2021-01-01 21:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 21:00:00,1.9261856,-7.210064,277.31467,279.05722,101166.92
2021-01-01 21:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 21:00:00,1.6766052,-7.980694,277.52176,279.72144,101234.62
2021-01-01 21:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 21:00:00,1.9945526,-6.930279,277.13318,278.71646,101216.17
2021-01-01 21:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 21:00:00,1.9020157,-7.540325,277.4883,279.2865,101134.21
2021-01-01 22:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 22:00:00,1.3939705,-6.0659666,277.09027,278.9858,101172.484
2021-01-01 22:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 22:00:00,1.0101814,-6.7091856,277.46375,279.65106,101246.96
2021-01-01 22:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 22:00:00,1.5785103,-5.559161,276.9926,278.704,101221.62
2021-01-01 22:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 22:00:00,1.2824745,-6.104144,277.37564,279.24554,101145.51
2021-01-01 23:00:00,53.294,0.357,0,0 days,0.0,2021-01-01 23:00:00,1.6027098,-5.9044847,277.17084,278.81604,101195.984
2021-01-01 23:00:00,53.294,0.608,0,0 days,0.0,2021-01-01 23:00:00,1.1320219,-6.5508165,277.59766,279.52826,101266.54
2021-01-01 23:00:00,53.043,0.357,0,0 days,0.0,2021-01-01 23:00:00,1.9211302,-5.3862963,276.97955,278.59283,101246.97
2021-01-01 23:00:00,53.043,0.608,0,0 days,0.0,2021-01-01 23:00:00,1.62955,-5.9573107,277.44702,279.18518,101168.01
2021-01-02 00:00:00,53.294,0.357,0,0 days,0.0,2021-01-02 00:00:00,2.1024065,-5.7272243,277.06433,278.52945,101242.27
