time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2021-01-01 00:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 00:00:00,3.683732,-4.844001,274.35016,276.09015,100802.016
2021-01-01 00:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 00:00:00,4.3686075,-5.547309,275.15363,276.90494,100797.41
2021-01-01 00:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 00:00:00,3.200059,-4.7180395,274.47592,276.42813,100755.89
2021-01-01 00:00:00,51.481,1.606,0,0 days,0.0,2021-01-01 00:00:00,3.7683268,-5.4628973,275.09897,277.2066,100780.97
2021-01-01 01:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 01:00:00,3.904233,-4.5902624,274.06522,275.99756,100814.88
2021-01-01 01:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 01:00:00,4.612973,-5.264304,274.795,276.8402,100810.695
2021-01-01 01:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 01:00:00,3.431943,-4.683326,274.35556,276.3693,100774.016
2021-01-01 01:00:00,51.481,1.606,0,0 days,0.0,2021-01-01 01:00:00,4.169095,-5.395255,275.18082,277.14777,100799.68
2021-01-01 02:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 02:00:00,4.0672436,-3.9144258,273.93155,275.90924,100836.43
2021-01-01 02:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 02:00:00,4.699415,-4.619809,274.62256,276.81412,100835.74
2021-01-01 02:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 02:00:00,3.4409313,-4.283017,274.2412,276.30978,100798.805
2021-01-01 02:00:00,51.481,1.606,0,0 days,0.0,2021-01-01 02:00:00,4.1130505,-5.0059786,275.1175,277.1407,100827.305
2021-01-01 03:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 03:00:00,4.4077044,-3.59099,273.64883,275.787,100870.375
2021-01-01 03:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 03:00:00,4.933736,-4.2496815,274.37744,276.7239,100869.53
2021-01-01 03:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 03:00:00,3.6257524,-3.8781757,273.92618,276.23407,100833.74
2021-01-01 03:00:00,51.481,1.606,0,0 days,0.0,2021-01-01 03:00:00,4.0901995,-4.5339375,274.88245,277.09677,100862.41
2021-01-01 04:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 04:00:00,4.8669033,-3.3492708,273.52112,275.66168,100856.34
2021-01-01 04:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 04:00:00,5.2671413,-4.009778,274.1934,276.6284,100857.734
2021-01-01 04:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 04:00:00,4.1028347,-3.526517,273.78793,276.12836,100821.14
2021-01-01 04:00:00,51.481,1.606,0,0 days,0.0,2021-01-01 04:00:00,4.357382,-4.238599,274.55847,277.03824,100852.23
2021-01-01 05:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 05:00:00,5.1556234,-3.1013622,273.40613,275.5679,100845.77
2021-01-01 05:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 05:00:00,5.5046225,-3.745634,274.07227,276.53207,100849.164
2021-01-01 05:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 05:00:00,4.418441,-3.283369,273.7278,276.03033,100812.06
2021-01-01 05:00:00,51.481,1.606,0,0 days,0.0,2021-01-01 05:00:00,4.544112,-4.0574627,274.45905,276.98682,100845.31
2021-01-01 06:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 06:00:00,5.3029423,-2.9979792,273.38043,275.49857,100864.945
2021-01-01 06:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 06:00:00,5.7151737,-3.5764856,274.0564,276.48044,100869.75
2021-01-01 06:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 06:00:00,4.6292667,-3.1061487,273.69135,275.95807,100833.89
2021-01-01 06:00:00,51.481,1.606,0,0 days,0.0,2021-01-01 06:00:00,4.818598,-3.867074,274.28906,276.92575,100868.4
2021-01-01 07:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 07:00:00,5.3607244,-2.9014769,273.38232,275.45944,100897.83
2021-01-01 07:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 07:00:00,5.797431,-3.4188719,274.08255,276.43436,100903.63
2021-01-01 07:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 07:00:00,4.778083,-2.8107939,273.66046,275.87537,100870.19
2021-01-01 07:00:00,51.481,1.606,0,0 days,0.0,2021-01-01 07:00:00,4.999793,-3.542056,274.25824,276.8433,100906.85
2021-01-01 08:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 08:00:00,5.278118,-2.9243078,273.47925,275.43506,100934.08
2021-01-01 08:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 08:00:00,5.6738396,-3.4008245,274.1932,276.4218,100940.97
2021-01-01 08:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 08:00:00,4.769314,-2.6380224,273.7212,275.81628,100908.445
2021-01-01 08:00:00,51.481,1.606,0,0 days,0.0,2021-01-01 08:00:00,4.9900475,-3.2481298,274.307,276.79868,100945.53
2021-01-01 09:00:00,51.732,1.355,0,0 days,0.0,2021-01-01 09:00:00,4.873499,-2.973178,273.63358,275.4365,100976.55
2021-01-01 09:00:00,51.732,1.606,0,0 days,0.0,2021-01-01 09:00:00,5.1881733,-3.432025,274.36758,276.3728,100983.94
2021-01-01 09:00:00,51.481,1.355,0,0 days,0.0,2021-01-01 09:00:00,4.734087,-2.5076475,273.76413,275.7709,100953.414
