time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2022-01-01 00:00:00,58.198,-3.091,0,0 days,0.0,2022-01-01 00:00:00,-4.7541933,4.163103,279.95807,281.18665,100528.94
2022-01-01 00:00:00,58.198,-2.84,0,0 days,0.0,2022-01-01 00:00:00,-5.390271,4.5451984,280.06348,281.41843,100748.47
2022-01-01 00:00:00,57.947,-3.091,0,0 days,0.0,2022-01-01 00:00:00,-4.259961,4.3931446,280.26642,281.5477,100799.6
2022-01-01 00:00:00,57.947,-2.84,0,0 days,0.0,2022-01-01 00:00:00,-4.753003,4.751253,280.28702,281.6096,100843.63
2022-01-01 01:00:00,58.198,-3.091,0,0 days,0.0,2022-01-01 01:00:00,-4.4352083,4.5696945,280.23096,281.3811,100499.336
2022-01-01 01:00:00,58.198,-2.84,0,0 days,0.0,2022-01-01 01:00:00,-5.072568,5.268715,280.3333,281.5963,100717.734
2022-01-01 01:00:00,57.947,-3.091,0,0 days,0.0,2022-01-01 01:00:00,-4.0306063,4.525093,280.53152,281.90765,100768.836
2022-01-01 01:00:00,57.947,-2.84,0,0 days,0.0,2022-01-01 01:00:00,-4.421567,5.1803513,280.59372,281.97055,100813.87
2022-01-01 02:00:00,58.198,-3.091,0,0 days,0.0,2022-01-01 02:00:00,-4.419426,4.887865,280.51807,281.6443,100415.66
2022-01-01 02:00:00,58.198,-2.84,0,0 days,0.0,2022-01-01 02:00:00,-4.9203415,5.6510334,280.68134,281.88962,100640.69
2022-01-01 02:00:00,57.947,-3.091,0,0 days,0.0,2022-01-01 02:00:00,-4.054573,5.2201405,280.77835,282.28308,100684.09
2022-01-01 02:00:00,57.947,-2.84,0,0 days,0.0,2022-01-01 02:00:00,-4.100868,5.870165,280.90454,282.3781,100734.766
2022-01-01 03:00:00,58.198,-3.091,0,0 days,0.0,2022-01-01 03:00:00,-4.373063,5.659402,280.8367,282.0114,100289.61
2022-01-01 03:00:00,58.198,-2.84,0,0 days,0.0,2022-01-01 03:00:00,-4.619645,6.2920465,280.99338,282.20673,100517.71
2022-01-01 03:00:00,57.947,-3.091,0,0 days,0.0,2022-01-01 03:00:00,-4.110505,5.9546747,280.94482,282.57013,100561.086
2022-01-01 03:00:00,57.947,-2.84,0,0 days,0.0,2022-01-01 03:00:00,-3.8632212,6.522073,281.0888,282.67728,100616.77
2022-01-01 04:00:00,58.198,-3.091,0,0 days,0.0,2022-01-01 04:00:00,-4.2810297,6.1933374,281.00165,282.3122,100161.445
2022-01-01 04:00:00,58.198,-2.84,0,0 days,0.0,2022-01-01 04:00:00,-4.4585733,6.876107,281.18042,282.49854,100391.734
2022-01-01 04:00:00,57.947,-3.091,0,0 days,0.0,2022-01-01 04:00:00,-4.4060984,6.622262,281.09976,282.72052,100438.09
2022-01-01 04:00:00,57.947,-2.84,0,0 days,0.0,2022-01-01 04:00:00,-4.2069254,7.240243,281.22842,282.83624,100495.05
2022-01-01 05:00:00,58.198,-3.091,0,0 days,0.0,2022-01-01 05:00:00,-5.12267,6.9944134,281.16586,282.56046,100019.7
2022-01-01 05:00:00,58.198,-2.84,0,0 days,0.0,2022-01-01 05:00:00,-5.1871233,7.9065533,281.3304,282.70483,100260.92
