time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2022-01-01 00:00:00,51.54,1.492,0,0 days,0.0,2022-01-01 00:00:00,4.8336487,5.794298,283.3586,284.50677,102105.22
2022-01-01 00:00:00,51.54,1.743,0,0 days,0.0,2022-01-01 00:00:00,5.4938354,5.8723774,283.6159,284.81033,102132.52
2022-01-01 00:00:00,51.289,1.492,0,0 days,0.0,2022-01-01 00:00:00,4.340851,5.847849,283.83377,284.99762,102042.76
2022-01-01 00:00:00,51.289,1.743,0,0 days,0.0,2022-01-01 00:00:00,4.718506,5.8483925,283.8309,285.10114,102138.45
2022-01-01 01:00:00,51.54,1.492,0,0 days,0.0,2022-01-01 01:00:00,4.2640686,6.701186,283.41956,284.5044,102120.086
2022-01-01 01:00:00,51.54,1.743,0,0 days,0.0,2022-01-01 01:00:00,4.6422577,6.8569174,283.69122,284.82037,102146.55
2022-01-01 01:00:00,51.289,1.492,0,0 days,0.0,2022-01-01 01:00:00,4.1052704,6.562728,283.85608,284.9731,102060.47
2022-01-01 01:00:00,51.289,1.743,0,0 days,0.0,2022-01-01 01:00:00,4.2804413,6.654311,283.84872,285.09882,102152.75
2022-01-01 02:00:00,51.54,1.492,0,0 days,0.0,2022-01-01 02:00:00,3.9044247,7.345744,283.40863,284.38855,102102.195
2022-01-01 02:00:00,51.54,1.743,0,0 days,0.0,2022-01-01 02:00:00,4.340399,7.5441847,283.67816,284.73254,102135.625
2022-01-01 02:00:00,51.289,1.492,0,0 days,0.0,2022-01-01 02:00:00,3.6541195,6.911952,283.83664,284.77536,102039.25
2022-01-01 02:00:00,51.289,1.743,0,0 days,0.0,2022-01-01 02:00:00,3.8990993,7.022197,283.82166,284.9622,102138.51
2022-01-01 03:00:00,51.54,1.492,0,0 days,0.0,2022-01-01 03:00:00,3.9089813,7.4507456,283.39145,284.22064,102074.234
2022-01-01 03:00:00,51.54,1.743,0,0 days,0.0,2022-01-01 03:00:00,3.9881744,7.66916,283.65805,284.61536,102099.61
2022-01-01 03:00:00,51.289,1.492,0,0 days,0.0,2022-01-01 03:00:00,3.423462,6.887513,283.7703,284.601,102010.984
2022-01-01 03:00:00,51.289,1.743,0,0 days,0.0,2022-01-01 03:00:00,3.3374481,6.955903,283.7794,284.76385,102101.37
2022-01-01 04:00:00,51.54,1.492,0,0 days,0.0,2022-01-01 04:00:00,4.414468,7.564396,283.33957,284.06,102076.67
2022-01-01 04:00:00,51.54,1.743,0,0 days,0.0,2022-01-01 04:00:00,4.407922,7.800556,283.60825,284.46426,102101.125
2022-01-01 04:00:00,51.289,1.492,0,0 days,0.0,2022-01-01 04:00:00,3.8791437,7.153599,283.71887,284.48355,102017.414
2022-01-01 04:00:00,51.289,1.743,0,0 days,0.0,2022-01-01 04:00:00,3.7373896,7.2179756,283.69116,284.5924,102106.88
2022-01-01 05:00:00,51.54,1.492,0,0 days,0.0,2022-01-01 05:00:00,3.9858036,8.037033,283.27,284.00043,102082.61
2022-01-01 05:00:00,51.54,1.743,0,0 days,0.0,2022-01-01 05:00:00,4.4182835,8.302048,283.5408,284.40576,102122.94
2022-01-01 05:00:00,51.289,1.492,0,0 days,0.0,2022-01-01 05:00:00,3.518076,7.5778503,283.62,284.42682,102021.67
2022-01-01 05:00:00,51.289,1.743,0,0 days,0.0,2022-01-01 05:00:00,3.7926273,7.664871,283.5769,284.52087,102127.95
2022-01-01 06:00:00,51.54,1.492,0,0 days,0.0,2022-01-01 06:00:00,2.547021,8.56241,283.16113,283.99985,102013.83
2022-01-01 06:00:00,51.54,1.743,0,0 days,0.0,2022-01-01 06:00:00,2.860818,8.825289,283.42877,284.3996,102058.26
2022-01-01 06:00:00,51.289,1.492,0,0 days,0.0,2022-01-01 06:00:00,2.1500483,7.857073,283.52817,284.42645,101950.2
