time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2023-01-01 00:00:00,52.247,2.032,0,0 days,0.0,2023-01-01 00:00:00,7.9261265,10.296916,282.4839,284.56088,100258.67
2023-01-01 00:00:00,52.247,2.283,0,0 days,0.0,2023-01-01 00:00:00,8.97349,11.051005,282.7755,284.89627,100304.3
2023-01-01 00:00:00,51.996,2.032,0,0 days,0.0,2023-01-01 00:00:00,8.420847,11.081492,282.7835,285.01166,100333.69
2023-01-01 00:00:00,51.996,2.283,0,0 days,0.0,2023-01-01 00:00:00,9.205851,11.44337,282.959,285.3094,100378.82
2023-01-01 01:00:00,52.247,2.032,0,0 days,0.0,2023-01-01 01:00:00,7.7508507,10.763324,282.2245,284.29288,100239.17
2023-01-01 01:00:00,52.247,2.283,0,0 days,0.0,2023-01-01 01:00:00,8.639706,11.433032,282.57062,284.6471,100287.94
2023-01-01 01:00:00,51.996,2.032,0,0 days,0.0,2023-01-01 01:00:00,8.680874,11.569629,282.64655,284.64227,100320.67
2023-01-01 01:00:00,51.996,2.283,0,0 days,0.0,2023-01-01 01:00:00,9.252407,11.990954,282.8755,284.9408,100363.86
2023-01-01 02:00:00,52.247,2.032,0,0 days,0.0,2023-01-01 02:00:00,9.811417,10.19175,282.0719,284.07672,100362.89
2023-01-01 02:00:00,52.247,2.283,0,0 days,0.0,2023-01-01 02:00:00,10.772995,10.7761,282.4582,284.38217,100409.36
2023-01-01 02:00:00,51.996,2.032,0,0 days,0.0,2023-01-01 02:00:00,10.678207,10.301384,282.511,284.46332,100456.195
2023-01-01 02:00:00,51.996,2.283,0,0 days,0.0,2023-01-01 02:00:00,11.406876,10.790367,282.8142,284.719,100496.5
2023-01-01 03:00:00,52.247,2.032,0,0 days,0.0,2023-01-01 03:00:00,9.726214,8.912831,281.6639,283.99585,100415.22
2023-01-01 03:00:00,52.247,2.283,0,0 days,0.0,2023-01-01 03:00:00,10.295947,9.530507,282.11823,284.33844,100458.45
2023-01-01 03:00:00,51.996,2.032,0,0 days,0.0,2023-01-01 03:00:00,10.002032,8.862981,282.09344,284.33527,100501.86
2023-01-01 03:00:00,51.996,2.283,0,0 days,0.0,2023-01-01 03:00:00,10.466022,9.274587,282.46423,284.62778,100541.75
2023-01-01 04:00:00,52.247,2.032,0,0 days,0.0,2023-01-01 04:00:00,9.716643,7.630089,280.9419,283.74164,100493.26
2023-01-01 04:00:00,52.247,2.283,0,0 days,0.0,2023-01-01 04:00:00,10.348693,8.209084,281.42847,284.12897,100532.12
2023-01-01 04:00:00,51.996,2.032,0,0 days,0.0,2023-01-01 04:00:00,9.8202505,7.8014755,281.34848,284.0667,100581.59
2023-01-01 04:00:00,51.996,2.283,0,0 days,0.0,2023-01-01 04:00:00,10.318404,8.188805,281.75623,284.37485,100614.95
2023-01-01 05:00:00,52.247,2.032,0,0 days,0.0,2023-01-01 05:00:00,8.86956,8.094128,280.5114,283.50745,100602.516
2023-01-01 05:00:00,52.247,2.283,0,0 days,0.0,2023-01-01 05:00:00,9.649513,8.445995,280.9724,283.90524,100645.24
2023-01-01 05:00:00,51.996,2.032,0,0 days,0.0,2023-01-01 05:00:00,9.048195,8.341,281.0907,283.89417,100693.92
2023-01-01 05:00:00,51.996,2.283,0,0 days,0.0,2023-01-01 05:00:00,9.666069,8.570278,281.3966,284.21658,100732.44
2023-01-01 06:00:00,52.247,2.032,0,0 days,0.0,2023-01-01 06:00:00,8.156535,8.860408,280.53262,283.33954,100658.88
2023-01-01 06:00:00,52.247,2.283,0,0 days,0.0,2023-01-01 06:00:00,8.957469,9.236896,280.9939,283.7629,100702.734
2023-01-01 06:00:00,51.996,2.032,0,0 days,0.0,2023-01-01 06:00:00,8.5230055,9.009051,281.05774,283.79648,100738.21
2023-01-01 06:00:00,51.996,2.283,0,0 days,0.0,2023-01-01 06:00:00,9.043849,9.205646,281.33545,284.14587,100776.81
