time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2023-01-01 00:00:00,53.497,0.36,0,0 days,0.0,2023-01-01 00:00:00,4.6656017,5.76931,281.01294,283.1755,99753.53
2023-01-01 00:00:00,53.497,0.611,0,0 days,0.0,2023-01-01 00:00:00,5.652708,6.198265,280.87186,283.14926,99828.09
2023-01-01 00:00:00,53.246,0.36,0,0 days,0.0,2023-01-01 00:00:00,4.858137,6.68557,280.634,282.76797,99725.47
2023-01-01 00:00:00,53.246,0.611,0,0 days,0.0,2023-01-01 00:00:00,5.6488934,7.3304367,280.5041,282.7498,99860.164
2023-01-01 01:00:00,53.497,0.36,0,0 days,0.0,2023-01-01 01:00:00,4.1924953,6.986932,280.45618,282.74658,99757.984
2023-01-01 01:00:00,53.497,0.611,0,0 days,0.0,2023-01-01 01:00:00,4.9743557,7.624276,280.42065,282.82385,99834.87
2023-01-01 01:00:00,53.246,0.36,0,0 days,0.0,2023-01-01 01:00:00,4.1102962,7.214013,280.1964,282.34073,99725.125
2023-01-01 01:00:00,53.246,0.611,0,0 days,0.0,2023-01-01 01:00:00,4.6501217,7.8035975,280.1343,282.4112,99859.61
2023-01-01 02:00:00,53.497,0.36,0,0 days,0.0,2023-01-01 02:00:00,4.7824554,8.483277,280.08514,282.37787,99799.48
2023-01-01 02:00:00,53.497,0.611,0,0 days,0.0,2023-01-01 02:00:00,5.2163544,9.108003,280.11877,282.52274,99882.36
2023-01-01 02:00:00,53.246,0.36,0,0 days,0.0,2023-01-01 02:00:00,5.6508636,8.68393,279.93756,282.19162,99780.19
2023-01-01 02:00:00,53.246,0.611,0,0 days,0.0,2023-01-01 02:00:00,6.0148163,9.33336,279.89767,282.2744,99919.59
2023-01-01 03:00:00,53.497,0.36,0,0 days,0.0,2023-01-01 03:00:00,6.9590635,8.883806,279.77878,282.3421,99817.09
2023-01-01 03:00:00,53.497,0.611,0,0 days,0.0,2023-01-01 03:00:00,7.424609,9.673296,279.86185,282.4649,99902.3
2023-01-01 03:00:00,53.246,0.36,0,0 days,0.0,2023-01-01 03:00:00,7.737506,8.7449665,279.48776,282.21185,99819.37
2023-01-01 03:00:00,53.246,0.611,0,0 days,0.0,2023-01-01 03:00:00,8.351306,9.547579,279.53616,282.27606,99960.74
2023-01-01 04:00:00,53.497,0.36,0,0 days,0.0,2023-01-01 04:00:00,8.080317,8.604797,278.99124,282.0205,99905.06
2023-01-01 04:00:00,53.497,0.611,0,0 days,0.0,2023-01-01 04:00:00,8.758249,9.535629,279.1908,282.28317,99982.51
2023-01-01 04:00:00,53.246,0.36,0,0 days,0.0,2023-01-01 04:00:00,8.028025,8.59285,278.67828,281.8189,99911.72
2023-01-01 04:00:00,53.246,0.611,0,0 days,0.0,2023-01-01 04:00:00,8.867029,9.407074,278.8157,282.03638,100046.61
2023-01-01 05:00:00,53.497,0.36,0,0 days,0.0,2023-01-01 05:00:00,7.996895,7.916691,278.63947,281.8168,99999.93
2023-01-01 05:00:00,53.497,0.611,0,0 days,0.0,2023-01-01 05:00:00,8.884132,8.641865,278.76144,282.04315,100072.25
2023-01-01 05:00:00,53.246,0.36,0,0 days,0.0,2023-01-01 05:00:00,7.903862,7.8288,278.304,281.61298,99991.46
2023-01-01 05:00:00,53.246,0.611,0,0 days,0.0,2023-01-01 05:00:00,8.814079,8.488499,278.36478,281.7887,100122.86
2023-01-01 06:00:00,53.497,0.36,0,0 days,0.0,2023-01-01 06:00:00,7.957782,7.4782515,278.3828,281.5074,100079.83
2023-01-01 06:00:00,53.497,0.611,0,0 days,0.0,2023-01-01 06:00:00,8.837024,8.106074,278.54617,281.79883,100151.15
2023-01-01 06:00:00,53.246,0.36,0,0 days,0.0,2023-01-01 06:00:00,7.766101,7.6149855,278.11017,281.30737,100062.14
2023-01-01 06:00:00,53.246,0.611,0,0 days,0.0,2023-01-01 06:00:00,8.59093,8.294642,278.1903,281.53763,100195.67
2023-01-01 07:00:00,53.497,0.36,0,0 days,0.0,2023-01-01 07:00:00,7.4804974,7.53337,278.25314,281.24536,100192.914
2023-01-01 07:00:00,53.497,0.611,0,0 days,0.0,2023-01-01 07:00:00,8.36627,8.198852,278.4283,281.5608,100268.67
2023-01-01 07:00:00,53.246,0.36,0,0 days,0.0,2023-01-01 07:00:00,7.1162395,7.745803,278.06552,281.0869,100179.31
2023-01-01 07:00:00,53.246,0.611,0,0 days,0.0,2023-01-01 07:00:00,7.8840313,8.485549,278.14377,281.3291,100314.77
