time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2023-01-01 00:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 00:00:00,7.9934454,10.934871,282.621,284.8015,100312.875
2023-01-01 00:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 00:00:00,8.830359,11.308024,282.88397,285.16913,100359.266
2023-01-01 00:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 00:00:00,8.595893,11.843989,282.8989,285.26697,100394.85
2023-01-01 00:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 00:00:00,9.131324,11.831599,283.0694,285.61768,100419.94
2023-01-01 01:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 01:00:00,8.44447,11.337928,282.4393,284.44077,100302.41
2023-01-01 01:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 01:00:00,8.992475,11.81858,282.7782,284.79703,100345.586
2023-01-01 01:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 01:00:00,9.401593,11.859534,282.91077,284.8532,100395.19
2023-01-01 01:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 01:00:00,9.689374,12.025718,283.16336,285.18408,100414.84
2023-01-01 02:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 02:00:00,10.299117,10.071838,282.28268,284.26862,100438.39
2023-01-01 02:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 02:00:00,11.074203,10.558548,282.67422,284.59958,100480.375
2023-01-01 02:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 02:00:00,11.19493,10.243706,282.7393,284.68237,100538.08
2023-01-01 02:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 02:00:00,11.69023,10.526581,283.05536,285.02896,100555.52
2023-01-01 03:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 03:00:00,9.815705,8.6789465,281.82904,284.11688,100485.195
2023-01-01 03:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 03:00:00,10.245469,9.082015,282.28973,284.48846,100525.375
2023-01-01 03:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 03:00:00,10.196321,8.849463,282.3083,284.4371,100577.57
2023-01-01 03:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 03:00:00,10.432328,9.018477,282.70935,284.7564,100595.57
2023-01-01 04:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 04:00:00,9.557888,7.645954,281.0992,283.8482,100568.0
2023-01-01 04:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 04:00:00,10.08073,8.01305,281.5597,284.23108,100602.17
2023-01-01 04:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 04:00:00,9.759838,8.072315,281.5969,284.21313,100656.24
2023-01-01 04:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 04:00:00,10.051708,8.227909,281.99182,284.50946,100666.5
2023-01-01 05:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 05:00:00,8.717763,8.261505,280.89185,283.6687,100677.266
2023-01-01 05:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 05:00:00,9.368611,8.481346,281.2578,284.06873,100716.84
2023-01-01 05:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 05:00:00,9.056615,8.726646,281.44498,284.13104,100765.3
2023-01-01 05:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 05:00:00,9.465764,8.733421,281.7264,284.45074,100782.15
2023-01-01 06:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 06:00:00,8.272076,8.900329,280.87317,283.5583,100721.71
2023-01-01 06:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 06:00:00,8.811108,9.140548,281.20825,283.9857,100760.89
2023-01-01 06:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 06:00:00,9.093792,9.376052,281.26242,284.08444,100801.36
2023-01-01 06:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 06:00:00,9.356457,9.401885,281.49646,284.43213,100816.73
2023-01-01 07:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 07:00:00,8.987831,8.770574,280.72046,283.50433,100827.3
2023-01-01 07:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 07:00:00,9.681709,9.081571,281.0564,283.9454,100865.875
2023-01-01 07:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 07:00:00,9.998482,8.9411745,281.07697,284.0494,100914.266
2023-01-01 07:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 07:00:00,10.4394,9.06928,281.28937,284.4063,100927.81
2023-01-01 08:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 08:00:00,8.536488,8.57056,280.62735,283.42908,100900.49
2023-01-01 08:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 08:00:00,9.23595,8.81992,280.9742,283.88776,100945.08
2023-01-01 08:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 08:00:00,9.34203,8.603386,281.06848,283.97424,100987.1
2023-01-01 08:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 08:00:00,9.825306,8.62561,281.28094,284.3432,101008.3
2023-01-01 09:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 09:00:00,7.9703636,8.634875,280.5823,283.35358,100959.77
2023-01-01 09:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 09:00:00,8.626522,8.828582,280.95264,283.8318,101002.95
2023-01-01 09:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 09:00:00,8.5148735,8.6794615,281.08142,283.9303,101044.89
2023-01-01 09:00:00,51.739,2.15,0,0 days,0.0,2023-01-01 09:00:00,8.943203,8.624576,281.30997,284.3121,101064.7
2023-01-01 10:00:00,51.99,1.899,0,0 days,0.0,2023-01-01 10:00:00,7.043436,8.943624,280.47723,283.2179,101034.05
2023-01-01 10:00:00,51.99,2.15,0,0 days,0.0,2023-01-01 10:00:00,7.5812016,9.035161,280.81708,283.62354,101077.234
2023-01-01 10:00:00,51.739,1.899,0,0 days,0.0,2023-01-01 10:00:00,7.4520664,8.902043,280.8959,283.8188,101110.75
