time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2023-01-01 00:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 00:00:00,4.8113613,6.5400944,280.69727,282.8341,99730.91
2023-01-01 00:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 00:00:00,5.677084,7.1255436,280.5534,282.8053,99848.31
2023-01-01 00:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 00:00:00,4.3447475,6.661661,280.6757,282.82974,99836.01
2023-01-01 00:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 00:00:00,5.056631,7.2316074,280.51953,282.7758,99807.84
2023-01-01 01:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 01:00:00,4.1067266,7.1626577,280.2334,282.40094,99731.26
2023-01-01 01:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 01:00:00,4.738364,7.782119,280.17108,282.46655,99849.39
2023-01-01 01:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 01:00:00,3.9500647,7.303893,280.33386,282.53406,99835.21
2023-01-01 01:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 01:00:00,4.328101,7.7340536,280.2067,282.51462,99802.766
2023-01-01 02:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 02:00:00,5.4861517,8.646624,279.94962,282.20624,99783.66
2023-01-01 02:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 02:00:00,5.8813086,9.301912,279.92596,282.30356,99907.14
2023-01-01 02:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 02:00:00,6.1809607,8.504305,280.06937,282.497,99900.836
2023-01-01 02:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 02:00:00,6.470893,9.04915,279.9341,282.4319,99870.39
2023-01-01 03:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 03:00:00,7.6086016,8.767093,279.52954,282.22058,99818.76
2023-01-01 03:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 03:00:00,8.1778,9.582553,279.58286,282.29956,99944.42
2023-01-01 03:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 03:00:00,7.9077196,8.414767,279.51324,282.4225,99965.2
2023-01-01 03:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 03:00:00,8.574483,8.969821,279.4579,282.33875,99935.91
2023-01-01 04:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 04:00:00,8.042561,8.581996,278.71994,281.83975,99910.44
2023-01-01 04:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 04:00:00,8.832859,9.45547,278.87354,282.06964,100029.0
2023-01-01 04:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 04:00:00,7.9086647,8.3286085,278.68228,281.9874,100050.516
2023-01-01 04:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 04:00:00,8.6387825,8.8016615,278.67032,282.05783,100017.78
2023-01-01 05:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 05:00:00,7.91498,7.8337116,278.35068,281.6349,99993.19
2023-01-01 05:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 05:00:00,8.827883,8.529741,278.4282,281.82465,100107.66
2023-01-01 05:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 05:00:00,7.7755146,7.7661915,278.30414,281.7471,100119.42
2023-01-01 05:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 05:00:00,8.468142,8.227221,278.19318,281.78052,100085.555
2023-01-01 06:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 06:00:00,7.7943516,7.5875187,278.14233,281.32608,100065.82
2023-01-01 06:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 06:00:00,8.650766,8.262293,278.24734,281.57526,100181.39
2023-01-01 06:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 06:00:00,7.3008213,7.7566776,278.1804,281.48895,100185.76
2023-01-01 06:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 06:00:00,7.8775425,8.310648,278.06134,281.5232,100154.32
2023-01-01 07:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 07:00:00,7.167033,7.7062445,278.0808,281.09625,100182.09
2023-01-01 07:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 07:00:00,7.9860334,8.433372,278.18805,281.3612,100300.53
2023-01-01 07:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 07:00:00,6.6995344,7.8521795,278.1858,281.30176,100302.39
2023-01-01 07:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 07:00:00,7.240611,8.472632,278.0573,281.31458,100270.52
2023-01-01 08:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 08:00:00,6.779149,8.046149,278.08383,280.94366,100266.086
2023-01-01 08:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 08:00:00,7.578923,8.8134985,278.20822,281.2081,100386.7
2023-01-01 08:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 08:00:00,6.3628893,7.9728155,278.1775,281.17935,100382.82
2023-01-01 08:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 08:00:00,6.9187365,8.569999,278.06793,281.1582,100353.516
2023-01-01 09:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 09:00:00,6.552742,7.7947445,278.13586,280.95145,100318.16
2023-01-01 09:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 09:00:00,7.3200455,8.535299,278.22577,281.15323,100440.17
2023-01-01 09:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 09:00:00,6.1163406,7.692251,278.16214,281.12976,100431.72
2023-01-01 09:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 09:00:00,6.6446,8.269522,278.03952,281.0752,100403.984
2023-01-01 10:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 10:00:00,6.008272,8.171105,278.25983,281.37546,100395.19
2023-01-01 10:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 10:00:00,6.6766376,8.953408,278.4082,281.5132,100522.07
2023-01-01 10:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 10:00:00,5.603731,8.221215,278.49387,281.59253,100509.1
2023-01-01 10:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 10:00:00,6.086672,8.830377,278.4275,281.53424,100486.22
2023-01-01 11:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 11:00:00,5.8075953,8.612521,278.51697,281.79852,100477.81
2023-01-01 11:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 11:00:00,6.3942347,9.310199,278.58575,281.7718,100606.55
2023-01-01 11:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 11:00:00,5.5446405,8.577365,278.76672,282.0385,100587.97
2023-01-01 11:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 11:00:00,6.009881,9.055987,278.63187,281.90482,100564.8
2023-01-01 12:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 12:00:00,5.4904585,8.473589,278.8919,282.25143,100493.59
2023-01-01 12:00:00,53.294,0.608,0,0 days,0.0,2023-01-01 12:00:00,5.9531507,9.079317,278.81332,282.15674,100620.53
2023-01-01 12:00:00,53.043,0.357,0,0 days,0.0,2023-01-01 12:00:00,5.4260664,8.294771,279.06317,282.5231,100598.914
2023-01-01 12:00:00,53.043,0.608,0,0 days,0.0,2023-01-01 12:00:00,5.8096724,8.676973,278.82172,282.35736,100573.18
2023-01-01 13:00:00,53.294,0.357,0,0 days,0.0,2023-01-01 13:00:00,5.422226,7.955415,279.08157,282.65405,100463.17
