time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2023-01-01 00:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 00:00:00,10.918896,9.267476,282.92065,284.59592,100411.75
2023-01-01 00:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 00:00:00,10.924679,9.836843,283.15967,284.8227,100363.086
2023-01-01 00:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 00:00:00,11.871487,9.848683,283.41656,285.28992,100577.21
2023-01-01 00:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 00:00:00,11.692226,10.40804,283.58313,285.52957,100557.5
2023-01-01 01:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 01:00:00,12.051869,7.898859,282.39615,284.29453,100529.41
2023-01-01 01:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 01:00:00,12.525014,8.186625,282.6234,284.38995,100477.31
2023-01-01 01:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 01:00:00,13.082143,8.230036,282.8619,284.57886,100695.86
2023-01-01 01:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 01:00:00,13.175984,8.557062,283.09647,284.8545,100675.59
2023-01-01 02:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 02:00:00,10.331912,7.1752567,282.0509,284.228,100599.95
2023-01-01 02:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 02:00:00,10.651431,7.0745716,282.26965,284.28778,100560.3
2023-01-01 02:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 02:00:00,10.87424,7.3782063,282.49332,284.74347,100758.13
2023-01-01 02:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 02:00:00,11.071399,7.267496,282.66284,284.79956,100750.58
2023-01-01 03:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 03:00:00,8.923358,7.3260775,281.7911,284.29102,100638.984
2023-01-01 03:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 03:00:00,9.088962,7.1927767,281.92407,284.4096,100595.33
2023-01-01 03:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 03:00:00,9.48772,8.23837,282.0636,284.88052,100799.17
2023-01-01 03:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 03:00:00,9.447116,8.006223,282.12674,285.0008,100786.9
2023-01-01 04:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 04:00:00,10.031231,8.995354,281.4004,284.3463,100711.68
2023-01-01 04:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 04:00:00,10.24696,8.974312,281.56522,284.43896,100671.016
2023-01-01 04:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 04:00:00,10.1838875,9.819817,281.5964,284.93326,100865.87
2023-01-01 04:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 04:00:00,10.29771,9.621712,281.68475,285.0379,100858.76
2023-01-01 05:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 05:00:00,10.646196,8.912744,281.18066,284.35345,100768.734
2023-01-01 05:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 05:00:00,10.580751,9.230523,281.2802,284.4901,100722.36
2023-01-01 05:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 05:00:00,10.249117,10.039361,281.41852,284.94458,100908.64
2023-01-01 05:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 05:00:00,9.8501,10.154382,281.45123,285.0464,100896.12
2023-01-01 06:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 06:00:00,10.488186,7.850833,281.25168,284.17505,100819.88
2023-01-01 06:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 06:00:00,10.958141,8.283206,281.33588,284.34662,100775.22
2023-01-01 06:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 06:00:00,10.338024,9.086947,281.4045,284.9052,100959.08
2023-01-01 06:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 06:00:00,10.317028,9.386233,281.45728,285.03143,100944.375
2023-01-01 07:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 07:00:00,9.533629,7.395897,281.26343,284.13373,100925.484
2023-01-01 07:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 07:00:00,9.905547,7.5444565,281.37967,284.26654,100886.11
2023-01-01 07:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 07:00:00,10.033843,8.482048,281.48257,284.90424,101068.67
2023-01-01 07:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 07:00:00,10.061263,8.619377,281.50952,285.02557,101059.95
2023-01-01 08:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 08:00:00,8.507709,7.47958,281.22345,284.28668,100955.11
2023-01-01 08:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 08:00:00,8.73923,7.5481377,281.35812,284.4131,100916.45
2023-01-01 08:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 08:00:00,8.946139,8.331219,281.51215,284.9501,101103.29
2023-01-01 08:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 08:00:00,8.986804,8.316509,281.53735,285.0475,101095.3
2023-01-01 09:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 09:00:00,7.6391735,7.601037,281.25598,284.37958,101008.59
2023-01-01 09:00:00,50.75,-0.07,0,0 days,0.0,2023-01-01 09:00:00,7.896742,7.6136255,281.35236,284.49628,100968.5
2023-01-01 09:00:00,50.499,-0.321,0,0 days,0.0,2023-01-01 09:00:00,7.91535,8.196359,281.5491,284.9113,101147.06
2023-01-01 09:00:00,50.499,-0.07,0,0 days,0.0,2023-01-01 09:00:00,7.931761,8.152322,281.5779,285.0141,101139.516
2023-01-01 10:00:00,50.75,-0.321,0,0 days,0.0,2023-01-01 10:00:00,5.2030993,7.5863266,281.1394,284.36853,101091.7
