dataset,psrType,bmUnit,nationalGridBmUnitId,settlementDate,settlementPeriod,halfHourEndTime,quantity
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,3,2022-08-31T00:30:00,78.787
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,4,2022-08-31T01:00:00,82.237
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,5,2022-08-31T01:30:00,86.777
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,6,2022-08-31T02:00:00,92.217
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,7,2022-08-31T02:30:00,98.217
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,8,2022-08-31T03:00:00,104.767
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,9,2022-08-31T03:30:00,101.107
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,10,2022-08-31T04:00:00,98.897
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,11,2022-08-31T04:30:00,104.367
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,12,2022-08-31T05:00:00,105.367
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,13,2022-08-31T05:30:00,99.877
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,14,2022-08-31T06:00:00,112.587
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,15,2022-08-31T06:30:00,128.477
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,16,2022-08-31T07:00:00,120.467
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,17,2022-08-31T07:30:00,105.857
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,18,2022-08-31T08:00:00,105.527
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,19,2022-08-31T08:30:00,115.907
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,20,2022-08-31T09:00:00,136.257
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,21,2022-08-31T09:30:00,130.057
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,22,2022-08-31T10:00:00,122.287
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,23,2022-08-31T10:30:00,121.377
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,24,2022-08-31T11:00:00,115.877
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,25,2022-08-31T11:30:00,118.647
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,26,2022-08-31T12:00:00,94.557
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,27,2022-08-31T12:30:00,70.627
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,28,2022-08-31T13:00:00,65.247
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,29,2022-08-31T13:30:00,64.687
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,30,2022-08-31T14:00:00,70.007
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,31,2022-08-31T14:30:00,84.247
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,32,2022-08-31T15:00:00,86.517
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,33,2022-08-31T15:30:00,84.927
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,34,2022-08-31T16:00:00,88.287
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,35,2022-08-31T16:30:00,120.357
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,36,2022-08-31T17:00:00,138.547
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,37,2022-08-31T17:30:00,141.297
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,38,2022-08-31T18:00:00,140.447
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,39,2022-08-31T18:30:00,119.387
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,40,2022-08-31T19:00:00,139.567
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,41,2022-08-31T19:30:00,138.467
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,42,2022-08-31T20:00:00,117.957
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,43,2022-08-31T20:30:00,126.327
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,44,2022-08-31T21:00:00,138.017
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,45,2022-08-31T21:30:00,122.987
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,46,2022-08-31T22:00:00,121.157
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,47,2022-08-31T22:30:00,116.157
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-08-31,48,2022-08-31T23:00:00,121.137
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,1,2022-08-31T23:30:00,119.327
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,2,2022-09-01T00:00:00,121.297
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,3,2022-09-01T00:30:00,123.637
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,4,2022-09-01T01:00:00,117.947
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,5,2022-09-01T01:30:00,120.037
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,6,2022-09-01T02:00:00,104.787
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,7,2022-09-01T02:30:00,104.987
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,8,2022-09-01T03:00:00,102.237
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,9,2022-09-01T03:30:00,89.087
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,10,2022-09-01T04:00:00,84.847
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,11,2022-09-01T04:30:00,80.877
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,12,2022-09-01T05:00:00,81.177
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,13,2022-09-01T05:30:00,87.657
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,14,2022-09-01T06:00:00,89.817
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,15,2022-09-01T06:30:00,69.677
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,16,2022-09-01T07:00:00,66.477
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,17,2022-09-01T07:30:00,84.297
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,18,2022-09-01T08:00:00,83.857
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,19,2022-09-01T08:30:00,76.637
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,20,2022-09-01T09:00:00,70.177
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,21,2022-09-01T09:30:00,65.767
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,22,2022-09-01T10:00:00,47.877
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,23,2022-09-01T10:30:00,52.697
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,24,2022-09-01T11:00:00,66.307
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,25,2022-09-01T11:30:00,77.677
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,26,2022-09-01T12:00:00,86.737
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,27,2022-09-01T12:30:00,90.557
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,28,2022-09-01T13:00:00,87.127
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,29,2022-09-01T13:30:00,80.207
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,30,2022-09-01T14:00:00,70.297
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,31,2022-09-01T14:30:00,65.307
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,32,2022-09-01T15:00:00,63.037
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,33,2022-09-01T15:30:00,58.997
B1610,Generation,T_HOWAO-1,HOWAO-1,2022-09-01,34,2022-09-01T16:00:00,54.487
