dataset,psrType,bmUnit,nationalGridBmUnitId,settlementDate,settlementPeriod,halfHourEndTime,quantity
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,1,2022-01-13T00:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,2,2022-01-13T01:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,3,2022-01-13T01:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,4,2022-01-13T02:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,5,2022-01-13T02:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,6,2022-01-13T03:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,7,2022-01-13T03:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,8,2022-01-13T04:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,9,2022-01-13T04:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,10,2022-01-13T05:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,11,2022-01-13T05:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,12,2022-01-13T06:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,13,2022-01-13T06:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,14,2022-01-13T07:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,15,2022-01-13T07:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,16,2022-01-13T08:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,17,2022-01-13T08:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,18,2022-01-13T09:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,19,2022-01-13T09:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,20,2022-01-13T10:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,21,2022-01-13T10:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,22,2022-01-13T11:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,23,2022-01-13T11:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,24,2022-01-13T12:00:00,-0.005
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,25,2022-01-13T12:30:00,-0.005
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,26,2022-01-13T13:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,27,2022-01-13T13:30:00,-0.005
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,28,2022-01-13T14:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,29,2022-01-13T14:30:00,-0.007
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,30,2022-01-13T15:00:00,-0.005
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,31,2022-01-13T15:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,32,2022-01-13T16:00:00,-0.005
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,33,2022-01-13T16:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,34,2022-01-13T17:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,35,2022-01-13T17:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,36,2022-01-13T18:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,37,2022-01-13T18:30:00,-0.005
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,38,2022-01-13T19:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,39,2022-01-13T19:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,40,2022-01-13T20:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,41,2022-01-13T20:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,42,2022-01-13T21:00:00,-0.005
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,43,2022-01-13T21:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,44,2022-01-13T22:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,45,2022-01-13T22:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,46,2022-01-13T23:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,47,2022-01-13T23:30:00,-0.007
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-13,48,2022-01-14T00:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-14,1,2022-01-14T00:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-14,2,2022-01-14T01:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-14,3,2022-01-14T01:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-14,4,2022-01-14T02:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-14,5,2022-01-14T02:30:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-14,6,2022-01-14T03:00:00,-0.006
B1610,Generation,T_TKNEW-1,TKNEW-1,2022-01-14,7,2022-01-14T03:30:00,-0.006
