dataset,psrType,bmUnit,nationalGridBmUnitId,settlementDate,settlementPeriod,halfHourEndTime,quantity
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,1,2022-01-13T00:30:00,128.031
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,2,2022-01-13T01:00:00,129.933
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,3,2022-01-13T01:30:00,101.996
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,4,2022-01-13T02:00:00,74.401
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,5,2022-01-13T02:30:00,78.182
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,6,2022-01-13T03:00:00,86.132
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,7,2022-01-13T03:30:00,92.021
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,8,2022-01-13T04:00:00,91.823
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,9,2022-01-13T04:30:00,88.229
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,10,2022-01-13T05:00:00,67.462
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,11,2022-01-13T05:30:00,63.454
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,12,2022-01-13T06:00:00,79.336
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,13,2022-01-13T06:30:00,84.163
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,14,2022-01-13T07:00:00,100.516
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,15,2022-01-13T07:30:00,113.855
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,16,2022-01-13T08:00:00,117.619
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,17,2022-01-13T08:30:00,142.729
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,18,2022-01-13T09:00:00,143.607
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,19,2022-01-13T09:30:00,138.171
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,20,2022-01-13T10:00:00,116.894
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,21,2022-01-13T10:30:00,117.691
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,22,2022-01-13T11:00:00,106.244
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,23,2022-01-13T11:30:00,103.541
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,24,2022-01-13T12:00:00,106.941
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,25,2022-01-13T12:30:00,91.877
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,26,2022-01-13T13:00:00,100.677
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,27,2022-01-13T13:30:00,90.752
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,28,2022-01-13T14:00:00,65.166
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,29,2022-01-13T14:30:00,69.191
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,30,2022-01-13T15:00:00,75.657
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,31,2022-01-13T15:30:00,89.177
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,32,2022-01-13T16:00:00,87.406
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,33,2022-01-13T16:30:00,89.54
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,34,2022-01-13T17:00:00,106.637
B1610,Generation,T_TKNWW-1,TKNWW-1,2022-01-13,35,2022-01-13T17:30:00,106.349
