,Common Name,Settlement BMU ID,REPD ID (New),Unnamed: 0,Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status (short),County,Region,Country,X-coordinate,Y-coordinate,Planning Permission Granted,Under Construction,Operational
0,Burbo Bank Offshore Wind Farm,E_BURBO,2539,2061,2539,Orsted (formerly Dong Energy),Burbo Bank Extension (Burbo Bank 2),Wind Offshore,258,Operational,Offshore,Offshore,England,315815,398892,10/12/2014,10/06/2016,27/04/2017
0,Burbo Bank Offshore Wind Farm,T_BRBEO-1,2539,2061,2539,Orsted (formerly Dong Energy),Burbo Bank Extension (Burbo Bank 2),Wind Offshore,258,Operational,Offshore,Offshore,England,315815,398892,10/12/2014,10/06/2016,27/04/2017
2,Dudgeon Offshore Wind Farm,T_DDGNO-1,2538,2060,2538,Statoil / Statkraft,Dudgeon East,Wind Offshore,402,Operational,Offshore,Offshore,England,575000,361000,06/07/2012,17/03/2016,15/10/2017
2,Dudgeon Offshore Wind Farm,T_DDGNO-2,2538,2060,2538,Statoil / Statkraft,Dudgeon East,Wind Offshore,402,Operational,Offshore,Offshore,England,575000,361000,06/07/2012,17/03/2016,15/10/2017
2,Dudgeon Offshore Wind Farm,T_DDGNO-3,2538,2060,2538,Statoil / Statkraft,Dudgeon East,Wind Offshore,402,Operational,Offshore,Offshore,England,575000,361000,06/07/2012,17/03/2016,15/10/2017
2,Dudgeon Offshore Wind Farm,T_DDGNO-4,2538,2060,2538,Statoil / Statkraft,Dudgeon East,Wind Offshore,402,Operational,Offshore,Offshore,England,575000,361000,06/07/2012,17/03/2016,15/10/2017
3,Galloper Offshore Wind Farm,T_GANW-11,2526,2053,2526,RWE Npower Renewables,Galloper Wind Farm,Wind Offshore,353,Operational,Offshore,Offshore,England,678139,227875,24/05/2013,29/07/2016,30/03/2018
3,Galloper Offshore Wind Farm,T_GANW-13,2526,2053,2526,RWE Npower Renewables,Galloper Wind Farm,Wind Offshore,353,Operational,Offshore,Offshore,England,678139,227875,24/05/2013,29/07/2016,30/03/2018
3,Galloper Offshore Wind Farm,T_GANW-22,2526,2053,2526,RWE Npower Renewables,Galloper Wind Farm,Wind Offshore,353,Operational,Offshore,Offshore,England,678139,227875,24/05/2013,29/07/2016,30/03/2018
3,Galloper Offshore Wind Farm,T_GANW-24,2526,2053,2526,RWE Npower Renewables,Galloper Wind Farm,Wind Offshore,353,Operational,Offshore,Offshore,England,678139,227875,24/05/2013,29/07/2016,30/03/2018
4,Greater Gabbard Offshore Wind Farm,T_GRGBW-1,2510,2038,2510,Airtricity / Fluor Ltd,Greater Gabbard Wind Farm,Wind Offshore,504,Operational,Offshore,Offshore,England,670237,231640,20/02/2007,01/07/2009,07/09/2012
4,Greater Gabbard Offshore Wind Farm,T_GRGBW-2,2510,2038,2510,Airtricity / Fluor Ltd,Greater Gabbard Wind Farm,Wind Offshore,504,Operational,Offshore,Offshore,England,670237,231640,20/02/2007,01/07/2009,07/09/2012
4,Greater Gabbard Offshore Wind Farm,T_GRGBW-3,2510,2038,2510,Airtricity / Fluor Ltd,Greater Gabbard Wind Farm,Wind Offshore,504,Operational,Offshore,Offshore,England,670237,231640,20/02/2007,01/07/2009,07/09/2012
5,Gwynt y Mor Offshore Wind Farm,T_GYMRW-1,2543,2064,2543,RWE,Gwynt y Mor,Wind Offshore,576,Operational,Offshore,Offshore,Wales,292082,396482,03/12/2008,01/03/2012,18/06/2015
5,Gwynt y Mor Offshore Wind Farm,T_GYMRW-2,2543,2064,2543,RWE,Gwynt y Mor,Wind Offshore,576,Operational,Offshore,Offshore,Wales,292082,396482,03/12/2008,01/03/2012,18/06/2015
5,Gwynt y Mor Offshore Wind Farm,T_GYMR-15,2543,2064,2543,RWE,Gwynt y Mor,Wind Offshore,576,Operational,Offshore,Offshore,Wales,292082,396482,03/12/2008,01/03/2012,18/06/2015
5,Gwynt y Mor Offshore Wind Farm,T_GYMR-17,2543,2064,2543,RWE,Gwynt y Mor,Wind Offshore,576,Operational,Offshore,Offshore,Wales,292082,396482,03/12/2008,01/03/2012,18/06/2015
5,Gwynt y Mor Offshore Wind Farm,T_GYMR-26,2543,2064,2543,RWE,Gwynt y Mor,Wind Offshore,576,Operational,Offshore,Offshore,Wales,292082,396482,03/12/2008,01/03/2012,18/06/2015
5,Gwynt y Mor Offshore Wind Farm,T_GYMR-28,2543,2064,2543,RWE,Gwynt y Mor,Wind Offshore,576,Operational,Offshore,Offshore,Wales,292082,396482,03/12/2008,01/03/2012,18/06/2015
6,Humber Offshore Wind Farm,T_HMGTO-1,2544,2065,2544,E.ON Humber Wind Ltd/ Balfour Beatty Investments and Equitix.,Humber Gateway A,Wind Offshore,219,Operational,Offshore,Offshore,England,566400,390760,09/02/2011,30/08/2013,30/05/2015
6,Humber Offshore Wind Farm,T_HMGTO-2,2544,2065,2544,E.ON Humber Wind Ltd/ Balfour Beatty Investments and Equitix.,Humber Gateway A,Wind Offshore,219,Operational,Offshore,Offshore,England,566400,390760,09/02/2011,30/08/2013,30/05/2015
7,Lincs Offshore Wind Farm,T_LNCSW-1,2513,2041,2513,Ørsted,Centrica (Lincs),Wind Offshore,270,Operational,Offshore,Offshore,England,567020,368144,21/10/2008,01/03/2010,24/07/2013
7,Lincs Offshore Wind Farm,T_LNCSW-2,2513,2041,2513,Ørsted,Centrica (Lincs),Wind Offshore,270,Operational,Offshore,Offshore,England,567020,368144,21/10/2008,01/03/2010,24/07/2013
7,Lincs Offshore Wind Farm,T_LNCSW-3,2513,2041,2513,Ørsted,Centrica (Lincs),Wind Offshore,270,Operational,Offshore,Offshore,England,567020,368144,21/10/2008,01/03/2010,24/07/2013
